call_id,start_time,duration_sec,mos,packet_loss_pct,jitter_ms,setup_ms,termination,issue_category
demo-1001,2026-09-15 09:20:11,52,4.3,0.2,3.1,118,normal,none
demo-1002,2026-09-15 10:02:17,14,2.7,3.8,18.4,205,customer_hangup,one_way_audio
demo-1003,2026-09-15 11:12:08,301,4.1,0.5,5.2,132,normal,none
demo-1004,2026-09-15 11:43:20,87,3.2,1.7,9.8,188,normal,network_jitter
demo-1005,2026-09-15 12:05:44,9,1.9,6.1,25.2,490,timeout,call_setup
demo-1006,2026-09-15 12:41:03,44,4.0,0.4,4.1,121,normal,none
demo-1007,2026-09-15 13:02:51,63,3.8,0.9,6.4,143,normal,none
demo-1008,2026-09-15 13:26:17,31,2.9,2.9,15.1,231,customer_hangup,one_way_audio
demo-1009,2026-09-15 14:10:05,212,4.4,0.1,2.4,109,normal,none
demo-1010,2026-09-15 14:55:29,17,2.4,4.5,20.0,314,network_jitter
